"Year","AndreafskyWeir","BorderMR","WolfAerial","EagleSonar","HenshawWeir","AndreafskyEastAerial","AndreafskyWestAerial","AnvikAerial","PilotStation","PorcupineSonar","RadioMRTanana"
1961,NA,NA,NA,NA,NA,1003,NA,1226,NA,NA,NA
1962,NA,NA,NA,NA,NA,675,762,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,867,705,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,344,650,NA,NA,NA
1966,NA,NA,NA,NA,NA,361,303,638,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,276,336,NA,NA,NA
1968,NA,NA,NA,NA,NA,383,383,310,NA,NA,NA
1969,NA,NA,NA,NA,NA,274,231,296,NA,NA,NA
1970,NA,NA,71,NA,NA,665,574,368,NA,NA,NA
1971,NA,NA,750,NA,NA,1904,1682,NA,NA,NA,NA
1972,NA,NA,13,NA,NA,798,582,418,NA,NA,NA
1973,NA,NA,NA,NA,NA,825,788,222,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA
1975,NA,NA,40,NA,NA,993,120,232,NA,NA,NA
1976,NA,NA,NA,NA,NA,818,643,195,NA,NA,NA
1977,NA,NA,NA,NA,NA,2008,1499,79,NA,NA,NA
1978,NA,NA,NA,NA,NA,2487,1062,NA,NA,NA,NA
1979,NA,NA,183,NA,NA,1180,1134,670,NA,NA,NA
1980,NA,NA,482,NA,NA,958,1500,1330,NA,NA,NA
1981,NA,NA,502,NA,NA,2146,231,807,NA,NA,NA
1982,NA,32951.89655,225,NA,NA,1274,851,NA,NA,NA,NA
1983,NA,42970.70506,252,NA,NA,NA,NA,653,NA,NA,NA
1984,NA,43911,374,NA,NA,1573,1993,641,NA,NA,NA
1985,NA,30933.24215,226,NA,NA,1617,2248,1097,NA,NA,NA
1986,NA,36478.50213,271,NA,NA,1954,3158,1118,169067,NA,NA
1987,NA,29684.5123,39,NA,NA,1608,3281,1169,116126,NA,NA
1988,NA,44444.9027,78,NA,NA,1020,1448,1805,120656,NA,NA
1989,NA,47013.11675,135,NA,NA,1399,1089,442,91545,NA,NA
1990,NA,56678.88982,380,NA,NA,2503,1545,2347,156097,NA,NA
1991,NA,41187.01097,201,NA,NA,1938,2544,875,75676,NA,NA
1992,NA,43185.31453,110,NA,NA,1030,2002,1536,NA,NA,NA
1993,NA,45027.02863,168,NA,NA,5855,2765,1720,134854,NA,NA
1994,8046,45230.53003,393,NA,NA,300,213,913,141795,NA,NA
1995,5790,52352.76513,229,NA,NA,1635,1108,1996,221357,NA,NA
1996,2928,47955.21176,705,NA,NA,NA,624,839,NA,NA,NA
1997,3076,53399.92419,322,NA,NA,1140,1510,3979,199763,NA,NA
1998,3975,22588,66,NA,NA,1027,1249,709,108038,NA,NA
1999,3357,23716,131,NA,NA,NA,870,950,184218,NA,NA
2000,1576,16173,32,NA,193,1018,427,1394,54560,NA,NA
2001,NA,52207,154,NA,1091,1059,565,1420,121089,NA,NA
2002,4106,49214,84,NA,649,1447,917,1713,151713,NA,33167
2003,4311,56929,292,NA,748,1116,1578,973,318088,NA,93629
2004,7920,48111,226,NA,1247,2879,1317,3679,200761,NA,97615
2005,2177,42245,260,81528,1059,1715,1492,2421,259014,NA,NA
2006,6522,36748,114,73691,NA,591,824,1886,228763,NA,NA
2007,4620,22120,54,41697,740,1758,976,1731,170246,NA,NA
2008,4383,14666,22,38097,766,278,262,992,175046,NA,NA
2009,3762,NA,134,69957,1637,84,1678,832,177796,NA,NA
2010,2647,NA,94,35074,857,537,858,974,137899,NA,NA
2011,5234,NA,81,52271,1796,620,1173,642,148797,NA,NA
2012,2742,NA,NA,34747,922,NA,227,722,127555,NA,NA
2013,2129,NA,NA,30725,772,1441,1090,941,136805,NA,NA
2014,5961,NA,NA,63482,NA,NA,1695,1584,163895,3066,NA
2015,6096,NA,NA,84015,2391,2167,1356,2616,146859,4851,NA
2016,2764,NA,NA,72329,1354,NA,NA,NA,176898,6665,NA
2017,2975,NA,NA,73268,677,NA,942,1101,263014,1191,NA
2018,4171,NA,NA,57893,NA,746,455,1109,161831,3414,NA
2019,5134,NA,NA,45560,441,1547,904,1432,219624,4740,NA
2020,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
