# Annual estimates of fish passage at East Fork Andreasky River Weir,,,,,,
# Overview of site and methods at XYZ,,,,,,
# Year = Run year,,,,,,
# Estimate = run size,,,,,,
# SE = Standard Error calculated based on INSERT,,,,,,
# p10 and p90 = 10th abd 90th percentiles of the ?posterior distribution?,,,,,,
Year, Estimate,SE,p10,p90,Use,UseNotes
1994,8046,80,NA,NA,TRUE,TBI
1995,5790,0,NA,NA,TRUE,TBI
1996,2928,0,NA,NA,TRUE,TBI
1997,3076,0,NA,NA,TRUE,TBI
1998,3975,0,NA,NA,TRUE,TBI
1999,3357,15.25,NA,NA,TRUE,TBI
2000,1576,192.5,NA,NA,TRUE,TBI
2001,NA,NA,NA,NA,NA,NA
2002,4106,0,NA,NA,TRUE,TBI
2003,4311,0,NA,NA,TRUE,TBI
2004,7920,50.25,NA,NA,TRUE,TBI
2005,2177,91,NA,NA,TRUE,TBI
2006,6522,0,NA,NA,TRUE,TBI
2007,4620,0,NA,NA,TRUE,TBI
2008,4383,0,NA,NA,TRUE,TBI
2009,3762,0,NA,NA,TRUE,TBI
2010,2647,0,NA,NA,TRUE,TBI
2011,5234,28.75,NA,NA,TRUE,TBI
2012,2742,0,NA,NA,TRUE,TBI
2013,2129,16.5,NA,NA,TRUE,TBI
2014,5961,7.75,NA,NA,TRUE,TBI
2015,6096,144,NA,NA,TRUE,TBI
2016,2764,0,NA,NA,TRUE,TBI
2017,2975,3.36,NA,NA,TRUE,TBI
2018,4171,157.73,NA,NA,TRUE,TBI
2019,5134,108.87,NA,NA,TRUE,TBI
