# Annual estimates of XYZ,,,,,,,,
# Overview of site and methods at https://www.adfg.alaska.gov/index.cfm?adfg=sonar.site_info&site=16,,,,,,,,
# Year = Run year,,,,,,,,
# Estimate = run size of ALL Chinook at Eagle Sonar,,,,,,,,
# SE = Standard Error calculated based on INSERT,,,,,,,,
# p10 and p90 = 10th abd 90th percentiles of the ?posterior distribution?,,,,,,,,
# Variance  = Calculated based on INSERT,,,,,,,,
# CV = Coefficient of Variation = SE / Estimate,,,,,,,,
Year, Estimate,SE,p10,p90,Variance,CV,Use,UseNotes
2005,81528,353,80947,81881,124609,0.004,TRUE,TBI
2006,73691,245,73288,73936,60025,0.003,TRUE,TBI
2007,41697,143,41462,41840,20449,0.003,TRUE,TBI
2008,38097,116,37981,38213,13456,0.003,TRUE,TBI
2009,69957,172,69674,70129,29584,0.002,TRUE,TBI
2010,35074,82,34939,35156,6724,0.002,TRUE,TBI
2011,52271,135,52049,52406,18225,0.003,TRUE,TBI
2012,34747,199,34420,34946,39601,0.006,TRUE,TBI
2013,30725,82,30590,30807,6724,0.003,TRUE,TBI
2014,63482,415,62799,63897,172225,0.007,TRUE,TBI
2015,84015,488,83212,84503,238144,0.006,TRUE,TBI
2016,72329,391,71686,72720,152881,0.005,TRUE,TBI
2017,73268,373,72654,73641,139129,0.005,TRUE,TBI
2018,57893,361,57299,58254,130321,0.006,TRUE,TBI
2019,45560,274,45109,46011,75076,0.006,TRUE,TBI
