# Annual estimates run size of adult Chinook salmon larger than X at Pilot Station Sonar,,,,,,
# Overview of site and methods at http://www.adfg.alaska.gov/index.cfm?adfg=sonar.site&site=12,,,,,,
# Year = Run year,,,,,,
# Estimate = run size,,,,,,
# SE = Standard Error calculated based on INSERT,,,,,,
# p10 and p90 = 10th abd 90th percentiles of the ?posterior distribution?,,,,,,
Year, Estimate,SE,p10,p90,Use,UseNotes
1986,169067,NA,NA,NA,TRUE,TBI
1987,116126,NA,NA,NA,TRUE,TBI
1988,120656,NA,NA,NA,TRUE,TBI
1989,91545,NA,NA,NA,TRUE,TBI
1990,156097,NA,NA,NA,TRUE,TBI
1991,75676,NA,NA,NA,TRUE,TBI
1993,134854,NA,NA,NA,TRUE,TBI
1994,141795,NA,NA,NA,TRUE,TBI
1995,221357,18313,191232,251482,TRUE,TBI
1997,199763,20535,165983,233543,TRUE,TBI
1998,108038,51703,22986,193090,TRUE,TBI
1999,184218,57953,88886,279550,TRUE,TBI
2000,54560,6601,43702,65418,TRUE,TBI
2001,121089,9106,106109,136069,TRUE,TBI
2002,151713,24298,111742,191684,TRUE,TBI
2003,318088,17359,289533,346643,TRUE,TBI
2004,200761,12145,180782,220740,TRUE,TBI
2005,259014,25807,216562,301466,TRUE,TBI
2006,228763,16836,201067,256459,TRUE,TBI
2007,170246,15523,144711,195781,TRUE,TBI
2008,175046,12989,153679,196413,TRUE,TBI
2009,177796,15885,151666,203926,TRUE,TBI
2010,137899,37156,76777,199021,TRUE,TBI
2011,148797,12264,128623,168971,TRUE,TBI
2012,127555,11339,108903,146207,TRUE,TBI
2013,136805,20001,103904,169706,TRUE,TBI
2014,163895,11389,145160,182630,TRUE,TBI
2015,146859,18820,115901,177817,TRUE,TBI
2016,176898,11226,158432,195364,TRUE,TBI
2017,263014,17696,233905,292123,TRUE,TBI
2018,161831,14917,137292,186370,TRUE,TBI
2019,219624,12448,199147,240101,TRUE,TBI
